code,name
170,Mozambique
152,Malawi
205,Rwanda
226,Somalia
270,Zambia
133,Kenya
150,Madagascar
257,United Republic of Tanzania
253,Uganda
271,Zimbabwe
79,Ethiopia
77,Eritrea
70,Djibouti
43,Burundi
89,Gabon
50,Chad
59,Congo
68,Democratic Republic of the Congo
45,Cameroon
49,Central African Republic
8,Angola
145,Libya
248,Tunisia
4,Algeria
172,Namibia
144,Liberia
105,Guinea-Bissau
90,Gambia
106,Guinea
94,Ghana
47,Cape Verde
66,Côte d'Ivoire
42,Burkina Faso
29,Benin
72,Dominican Republic
231,Sri Lanka
31,Bhutan
23,Bangladesh
1,Afghanistan
235,Swaziland
142,Lesotho
227,South Africa
243,Togo
221,Sierra Leone
182,Nigeria
181,Niger
159,Mauritania
155,Mali
138,Kyrgyzstan
132,Kazakhstan
167,Mongolia
108,Haiti
191,Panama
75,El Salvador
180,Nicaragua
162,Mexico
111,Honduras
103,Guatemala
57,Colombia
73,Ecuador
194,Paraguay
195,Peru
37,Brazil
33,Bolivia
12,Argentina
126,Japan
44,Cambodia
264,Viet Nam
139,Lao People's Democratic Republic
240,Thailand
239,Tajikistan
242,Timor-Leste
175,Nepal
188,Pakistan
115,India
117,Iran  (Islamic Republic of)
141,Lebanon
249,Turkey
269,Yemen
118,Iraq
130,Jordan
238,Syrian Arab Republic
92,Georgia
13,Armenia
254,Ukraine
26,Belarus
204,Russian Federation
