objectid,city_name,city_altnm,lat,lng
18869,Teyateyaneng,"",-29.148819112,27.747605605
18870,Kingstown,"",13.155268369,-61.227416038
18871,Bridgetown,"",13.098804548,-59.616175578
18872,Yamoussoukro,"Giamoussoukro, Jamusukras, Jamusukro",6.82055167999999,-5.276736169
18873,Mbabane,"Embabane, Gorad Mbabaneh, Mabane, Mbaban, Mbabano",-26.316668343,31.133328485
18874,Malabo,"Ciudad De Malabo, Malaba, Malabas, Malabo",3.75000366,8.78332610500001
18875,Sarajevo,"Bosna-Sarai, Gorad Saraeva",43.850780636,18.386654733
18876,Ashgabat,"Achgabat, Achkhabad",37.949997517,58.383327854
18877,Asmara,"Asmehra, Asmera, Aszmara",15.338966669,38.932676292
18878,Gaborone,"",-24.654501774,25.908585718
18879,Praia,"",14.931517083,-23.512535213
18880,Yaounde,Jaunde,3.868988043,11.521325706
18881,Cairo,"Al-Qāhira, القاهرة‎",30.048813152,31.243662286
18882,Libreville,"",0.392413868000006,9.45355675500002
18883,Accra,Accrà,5.55602377700001,-0.196895744000017
18884,Port Louis,Porlwi,-20.162008728,57.49888745
18885,Rabat,"Al-Ribāṭ, Aṛbaṭ, الرباط‎",34.013243928,-6.83254447899998
18886,Saint-Denis,"",-20.882306295,55.450395737
18887,Victoria,"Port Victoria, Mahé",-4.623205622,55.452357639
18888,Belmopan,"",17.249996655,-88.766669049
18889,Hamilton,"",32.294897662,-64.78302424
18890,Ottawa,Gatineau,45.411164949,-75.698117698
18891,George Town,"",19.286597112,-81.374356546
18892,San Jose,San José,9.93333277400001,-84.083325578
18893,San Salvador,"",13.697751665,-89.193005383
18894,Nuuk,Godthab,64.183466158,-51.721565918
18895,Fort-De-France,Fodfrans,14.608917412,-61.073334418
18896,San Juan,Saint John,18.466326893,-66.105714407
18897,La Paz,"Nuestra Señora De La Paz, Chuqiyapu",-16.495636098,-68.133628345
18898,Brasilia,"",-15.7930371625,-47.891970016
18899,Santiago,Santiago De Chile,-33.456937793,-70.648267018
18900,Quito,San Francisco De Quito,-0.213036991000024,-78.501990396
18901,Asuncion,Asunción,-25.295985932,-57.631115716
18902,Lima,Ciudad De Los Reyes,-12.062102194,-77.036520834
18903,Paramaribo,Parbo,5.82162176999998,-55.177193907
18904,Yerevan,"Erevan, Երևան",40.177605698,44.512580617
18905,Manama,"Al-Manāmah, منامة",26.227867523,50.585647377
18906,Thimphu,"Thimbu, Thimpu",27.472760742,89.629542189
18907,Bandar Seri Begawan,"Brunei Town, بندر سري بڬاوان",4.88954534700002,114.941753993
18908,Beijing,"Peking, 北京",39.907493555,116.397223183
18909,Pyongyang,"P'Yŏngyang, 平壤",39.033848068,125.754318112
18910,Tbilisi,"Tiflis, Tiblisi, Tbilissi, თბილისი",41.694106898,44.833675572
18911,New Delhi,"Naī Dillī, नई दिल्ली",28.635755661,77.22444652
18912,Astana,"Akmola, Астана, Nur-Sultan",51.155292987,71.4330864755
18913,Kuala Lumpur,"கோலாலம்பூர், 吉隆坡",3.14120240300002,101.686529025
18914,Malé,"",4.174805021,73.508875431
18915,Ulaanbaatar,"Ulan Bator, Ulaγanbaγatur, Улаанбаатар",47.918306671,106.914921639
18916,Islamabad,"Islāmābād, اسلام آباد‬‎",33.694572498,73.064371532
18917,Seoul,"Seul, 서울특별시",37.565994929,126.978398306
18918,East Jerusalem,"Eastern Jerusalem, القدس الشرقية , מזרח ירושלים‎",31.777980947,35.235413208
18919,Ankara,"Ancyra, Angora",39.919864189,32.854268188
18920,Tashkent,"Toshkent, Taškent, Ташке́Нт",41.312335028,69.278704624
18921,Minsk,"Мінск, Менск, Минск",53.899994085,27.566663427
18922,Sofia,"Sofiya, Со́Фия",42.69750422,23.32414418
18923,Zagreb,Zah-Greb,45.814433402,15.977971877
18924,Tallinn,"Reval, Tallinna",59.436955666,24.753522741
18925,Helsinki,Helsingfors,60.169517338,24.935446957
18926,Berlin,"",52.524363642,13.41052609
18927,Athinai,"Athína, Athens, Αθήνα",37.979445741,23.716213815
18928,Budapest,"",47.498002518,19.03990567
18929,Reykjavik,Reykjavík,64.135475024,-21.895404433
18930,Roma,Rome,41.891926069,12.511322617
18931,Vilnius,"Vil'Njus, Vil'Na, Wilno, Wilna, Вильнюс",54.689157954,25.279796218
18932,Valletta,La Valletta,35.899714517,14.514712783
18933,Podgorica,Подгорица,42.441107634,19.263606853
18934,Amsterdam,Amstelredamme,52.374025156,4.88968510900003
18935,Warszawa,Warsaw,52.229763238,21.011776687
18936,Moskva,"Moscow, Москва",55.75221573,37.615555084
18937,Bratislava,"Pressburg, Prešporok, Prešporek, Pozsony",48.148155441,17.106735606
18938,Ljubljana,"Laibach, Lubiana",46.05107781,14.505125209
18939,Madrid,"",40.416496083,-3.70255666600002
18940,Stockholm,"",59.332575393,18.064898221
18941,Berne,"Bern, Bärn, Berna",46.948084131,7.447436794
18942,Skopje,"Shkup, Скопје",41.996452819,21.431406158
18943,Canberra,"",-35.283459412,149.128064493
18944,Suva,"",-18.138267161,178.449582245
18945,Papeete,"",-17.537326012,-149.566495904
18946,Tarawa,"",1.329301687,172.9775209985
18947,Majuro,"",7.08971602999998,171.380264457
18948,Noumea,"Nouméa, Port-De-France",-22.2752276295,166.443968709
18949,Wellington,Te Whanga-Nui-A-Tara,-41.286634533,174.775566188
18950,Koror,"",7.34327629199998,134.476675695
18951,Honiara,"",-9.43332700399998,159.949994251
18952,Nuku'Alofa,"",-21.139377562,-175.201795635
18953,Port Vila,"",-17.741496951,168.315010523
18954,Madinat Al-Kuwait,Kuwait City,29.369715521,47.978328823
18955,Chişinău,Kishinev,47.024469575,28.832249827
18956,Beograd,Belgrade,44.804005193,20.465125177
18957,Cuidad De Guatemala,"Cidade Da Guatemala, Guatemala City",14.623105402,-90.518284375
18958,Ciudad De Mexico,"Mexico City, Cidade De Mexico",19.428465829,-99.12765815
18959,El Aaiún,"Laayoune, Laâyoune, El Aaiún, العيون",27.141796466,-13.187966938
18960,Lisboa,Lisbon,38.716668151,-9.13332723799999
18961,Bloemfontein,"Blumfonteina, Blumfonteinas",-29.121069531,26.213999582
18962,Pretoria,"",-25.744855853,28.187825916
18963,Nicosia,"An Leafcois, An Leafcóis, Arqa Nikosiya, Lefkosia",35.175309698,33.364198191
18964,Bucuresti,"Buh, Boekarest, Boukouresti, Bucarest, Bucaresta",44.432246059,26.106256555
18965,Luxembourg-Ville,Bandar Luxembourg,49.61166932,6.12999825399999
18966,Wien,Vienna,48.20848998,16.372079289
18967,Praha,"Praag, Prag, Pragae, Prago, Prague",50.088037229,14.420757356
18968,Kobenhavn,"Cobanhavan, Copenaghen, Copenhagen, Copenhague, Koben",55.675937197,12.565528001
18969,Kiev,"Chijv, Civ, Cív, Gorad Kieu",50.454659619,30.523797161
18970,Meta-Utu,"Mata Utu, Matā'Utu",-13.28163,-176.17453
18971,Grand Turk,Cockburn Town,21.46122,-71.14188
18972,St. Helier,Saint Helier,49.18804,-2.10491000000002
18973,Agana,Hagåtña,13.47567,144.74886
18974,St. Peter Port,"Saint Peter Port, Saint-Pierre-Port",49.45981,-2.53527000000003
18975,Thorshavn,"Tórshavn, Thorshavn, Torshamn, Þórshöfn",62.00973,-6.77163999999999
18976,Jamestown,"",-15.938719404,-5.71674873699999
18977,The Valley,"",18.217039647,-63.057828002
18978,Oranjestad,"",12.5256452635,-70.036308304
18979,Basse-Terre,"",15.998535887,-61.725478351
18980,Castries,Kastri,14.010576591,-60.990406419
18981,Saint-Pierre,"",46.779138756,-56.177299708
18982,Washington,"",38.713446165,-78.159437703
18983,Charlotte Amalie,"",18.341896099,-64.93069728
18984,Stanley,"",-51.699999407,-57.849996365
18985,Cayenne,Kayenn,4.93333196499998,-52.333326584
18986,Jerusalem,"יְרוּשָׁלַיִם, القُدس",31.769036152,35.21632706
18987,Tirana,"Tiranë, Gorad Tyrana, Terana, Theranda, Tiorána, Tiran",41.327498189,19.818888657
18988,Andorra La Vella,"Andorra La Vieja, Andorre-La-Vieille, Andòrra La Vièlha",42.507789007,1.52108698699999
18989,Gibraltar,"",36.144735942,-5.35256983599999
18990,Douglas,Doolish,54.149998396,-4.48332665200002
18991,Vaduz,Vadoz,47.141508665,9.52153886399998
18992,San Marino,"San Marèin, San Maroin",43.936667734,12.446386524
18993,Pago Pago,"",-14.27500344,-170.704825644
18994,Avarua,"",-21.2080198705,-159.771505284
18995,Alofi,"",-19.054505725,-169.917679871
18996,Kingston,"",-29.054586823,167.966279768
18997,Adamstown,"",-25.065966334,-130.10146767
18998,Apia,"Āpia, Apiae, Apija, Apio, Apiya",-13.833327147,-171.766658754
18999,Funafuti,Funafutti,-8.52817752200002,179.191837209
19000,Citta` Del Vaticano,Vatican City,41.902135861,12.45338457
19001,Garapan,"",15.211320812,145.721805257
19002,Palikir,"",6.92477861100002,158.163293058
19003,Hanoi,"Anoi, Anòy, Han",21.024496322,105.841168007
19004,Naypyidaw,"",19.803255684,96.185659396
19005,Lobamba,"",-26.442858885,31.206574832
19006,Saint George'S,"",12.0537529705,-61.747484828
19007,Road Town,"",18.427235627,-64.622897996
19008,Brades,"",16.788833624,-62.208642079
19009,Plymouth,"",16.714239861,-62.2212635
19010,Basseterre,"",17.299815309,-62.722497515
19011,Charlestown,"",17.139282379,-62.623320102
19012,Monaco,Monte Carlo,43.733092169,7.41884691000001
19013,Yaren,"",-0.546921041000019,166.91636932
19014,San Antonio,"",-33.580460465,-71.60992709
19015,Rosario,"Rosario,Villa Del Rosario",-34.316665722,-57.34999906
